game_id,ugly_name,pretty_name
161866,zombicide-season-3-rue-morgue,Zombicide Season 3: Rue Morgue
203427,fabled-fruit,Fabled Fruit
27588,zooloretto,Zooloretto
104363,rex-final-days-empire,Rex: Final Days of an Empire
66505,speicherstadt,The Speicherstadt
224710,zombicide-green-horde,Zombicide: Green Horde
91514,rhino-hero,Rhino Hero
1822,wilderness-war,Wilderness War
216734,dice-throne-season-one,Dice Throne: Season One
180680,automobiles,Automobiles
15512,diamant,Diamant
22825,tide-iron,Tide of Iron
224,history-world,History of the World
104710,wiz-war-eighth-edition,Wiz-War (eighth edition)
158435,dogs-war,Dogs of War
202426,sidereal-confluence-trading-and-negotiation-elysia,Sidereal Confluence: Trading and Negotiation in the Elysian Quadrant
200077,mint-works,Mint Works
72287,mr-jack-pocket,Mr. Jack Pocket
197443,fugitive,Fugitive
8045,princes-renaissance,Princes of the Renaissance
179172,unfair,Unfair
60,vinci,Vinci
141517,study-emerald,A Study in Emerald
67492,battles-westeros,Battles of Westeros
165838,space-hulk-fourth-edition,Space Hulk (fourth edition)
59946,dungeons-dragons-castle-ravenloft-board-game,Dungeons & Dragons: Castle Ravenloft Board Game
2093,mahjong,Mahjong
156776,warhammer-40000-conquest,"Warhammer 40,000: Conquest"
55427,mr-jack-new-york,Mr. Jack in New York
41,cant-stop,Can't Stop
15817,manila,Manila
207830,5-minute-dungeon,5-Minute Dungeon
204027,cottage-garden,Cottage Garden
181687,pursuit-happiness,The Pursuit of Happiness
246784,cryptid,Cryptid
135382,shadowrun-crossfire,Shadowrun: Crossfire
150999,valley-kings,Valley of the Kings
233247,sid-meiers-civilization-new-dawn,Sid Meier's Civilization: A New Dawn
551,battle-cry,Battle Cry
157403,black-fleet,Black Fleet
195137,catacombs-third-edition,Catacombs (third edition)
178336,worlds-fair-1893,World's Fair 1893
197070,massive-darkness,Massive Darkness
220,high-society,High Society
38823,conflict-heroes-storms-steel-kursk-1943,Conflict of Heroes: Storms of Steel! – Kursk 1943
136991,loony-quest,Loony Quest
25568,metropolys,Metropolys
66056,rivals-catan,Rivals for Catan
18100,china,China
122522,smash,Smash Up
171233,big-book-madness,The Big Book of Madness
97903,terror-meeple-city,Terror in Meeple City
195560,wasteland-express-delivery-service,Wasteland Express Delivery Service
131260,qwixx,Qwixx
242302,space-base,Space Base
50768,ninjato,Ninjato
68264,no-retreat-russian-front,No Retreat! The Russian Front
94246,1812-invasion-canada,1812: The Invasion of Canada
127518,distant-plain,A Distant Plain
137649,level-7-omega-protocol,Level 7 [Omega Protocol]
25669,qwirkle,Qwirkle
185589,islebound,Islebound
191231,nebula,Via Nebula
154086,gold-west,Gold West
1465,wizard,Wizard
5737,domaine,Domaine
17396,manoeuvre,Manoeuvre
1382,winners-circle,Winner's Circle
152162,diamonds,Diamonds
35497,fauna,Fauna
71671,yggdrasil,Yggdrasil
6830,zendo,Zendo
207691,railroad-revolution,Railroad Revolution
56692,parade,Parade
142326,eight-minute-empire-legends,Eight-Minute Empire: Legends
125678,dc-comics-deck-building-game,DC Comics Deck-Building Game
180593,bloody-inn,The Bloody Inn
164265,witness,Witness
8203,hey-s-my-fish,"Hey, That's My Fish!"
130176,tales-games-hare-tortoise,Tales & Games: The Hare & the Tortoise
244711,newton,Newton
104020,vanuatu,Vanuatu
183880,risk-star-wars-edition,Risk: Star Wars Edition
1634,warhammer-quest,Warhammer Quest
151007,pathfinder-adventure-card-game-skull-shackles-base,Pathfinder Adventure Card Game: Skull & Shackles – Base Set
159473,quartermaster-general,Quartermaster General
175324,fog-love,Fog of Love
27364,caylus-magna-carta,Caylus Magna Carta
216459,lost-expedition,The Lost Expedition
121410,steam-park,Steam Park
157809,nations-dice-game,Nations: The Dice Game
156091,sons-anarchy-men-mayhem,Sons of Anarchy: Men of Mayhem
91536,quarriors,Quarriors!
184151,legend-five-rings-card-game,Legend of the Five Rings: The Card Game
35052,axis-allies-anniversary-edition,Axis & Allies Anniversary Edition
124,primordial-soup,Primordial Soup
34084,witchs-brew,Witch's Brew
230080,majesty-realm,Majesty: For the Realm
221,ikusa,Ikusa
153065,linko,Linko!
327,loopin-louie,Loopin' Louie
23094,planet-steam,Planet Steam
197405,tak,Tak
44163,power-grid-factory-manager,Power Grid: Factory Manager
823,lord-rings,Lord of the Rings
1608,ambush,Ambush!
21523,runebound-second-edition,Runebound (Second Edition)
42910,peloponnes,Peloponnes
207336,honshu,Honshū
157001,trains-rising-sun,Trains: Rising Sun
182340,star-trek-frontiers,Star Trek: Frontiers
204516,878-vikings-invasions-england,878: Vikings – Invasions of England
37628,haggis,Haggis
833,people,For the People
57390,catacombs,Catacombs
38159,ultimate-werewolf-ultimate-edition,Ultimate Werewolf: Ultimate Edition
121297,fleet,Fleet
200954,fields-green,Fields of Green
217449,nmbr-9,NMBR 9
75449,firenze,Firenze
40793,dice-town,Dice Town
30381,hamburgum,Hamburgum
4099,keythedral,Keythedral
30618,eat-poop-you-cat,Eat Poop You Cat
